escenario,replica,t_segundos,G,N,K,corral
1,1,5.0,25,1,25,1
1,1,10.0,25,1,25,1
1,1,15.0,25,1,25,1
1,1,20.0,25,1,25,1
1,1,25.0,25,1,25,1
1,1,30.0,25,1,25,1
1,1,35.0,25,1,25,1
1,1,40.0,25,1,25,1
1,1,45.0,25,1,25,1
1,1,50.0,25,1,25,1
1,1,55.0,25,1,25,1
1,1,60.0,24,1,25,1
1,1,65.0,24,1,25,1
1,1,70.0,24,1,25,1
1,1,75.0,24,1,25,1
1,1,80.0,24,1,25,1
1,1,85.0,23,1,25,1
1,1,90.0,22,1,25,1
1,1,95.0,22,1,25,1
1,1,100.0,22,1,25,1
1,1,105.0,22,1,25,1
1,1,110.0,22,1,25,1
1,1,115.0,22,1,25,1
1,1,120.0,22,1,25,1
1,1,125.0,22,1,25,1
1,1,130.0,22,1,25,1
1,1,135.0,22,1,25,1
1,1,140.0,22,1,25,1
1,1,145.0,22,1,25,1
1,1,150.0,22,1,25,1
1,1,155.0,22,1,25,1
1,1,160.0,23,1,25,1
1,1,165.0,23,1,25,1
1,1,170.0,23,1,25,1
1,1,175.0,23,1,25,1
1,1,180.0,24,1,25,1
1,1,185.0,23,1,25,1
1,1,190.0,23,1,25,1
1,1,195.0,23,1,25,1
1,1,200.0,23,1,25,1
1,1,205.0,22,1,25,1
1,1,210.0,22,1,25,1
1,1,215.0,22,1,25,1
1,1,220.0,22,1,25,1
1,1,225.0,22,1,25,1
1,1,230.0,22,1,25,1
1,1,235.0,22,1,25,1
1,1,240.0,22,1,25,1
1,1,245.0,22,1,25,1
1,1,250.0,22,1,25,1
1,1,255.0,22,1,25,1
1,1,260.0,22,1,25,1
1,1,265.0,22,1,25,1
1,1,270.0,21,1,25,1
1,1,275.0,21,1,25,1
1,1,280.0,22,1,25,1
1,1,285.0,22,1,25,1
1,1,290.0,22,1,25,1
1,1,295.0,22,1,25,1
1,1,300.0,22,1,25,1
1,1,305.0,22,1,25,1
1,1,310.0,22,1,25,1
1,1,315.0,22,1,25,1
1,1,320.0,22,1,25,1
1,1,325.0,23,1,25,1
1,1,330.0,23,1,25,1
1,1,335.0,23,1,25,1
1,1,340.0,23,1,25,1
1,1,345.0,23,1,25,1
1,1,350.0,23,1,25,1
1,1,355.0,23,1,25,1
1,1,360.0,23,1,25,1
1,1,365.0,23,1,25,1
1,1,370.0,24,1,25,1
1,1,375.0,24,1,25,1
1,1,380.0,24,1,25,1
1,1,385.0,24,1,25,1
1,1,390.0,24,1,25,1
1,1,395.0,24,1,25,1
1,1,400.0,24,1,25,1
1,1,405.0,24,1,25,1
1,1,410.0,24,1,25,1
1,1,415.0,24,1,25,1
1,1,420.0,24,1,25,1
1,1,425.0,24,1,25,1
1,1,430.0,24,1,25,1
1,1,435.0,24,1,25,1
1,1,440.0,24,1,25,1
1,1,445.0,24,1,25,1
1,1,450.0,24,1,25,1
1,1,455.0,24,1,25,1
1,1,460.0,24,1,25,1
1,1,465.0,24,1,25,1
1,1,470.0,23,1,25,1
1,1,475.0,23,1,25,1
1,1,480.0,24,1,25,1
1,1,485.0,24,1,25,1
1,1,490.0,24,1,25,1
1,1,495.0,24,1,25,1
1,1,500.0,23,1,25,1
1,1,505.0,23,1,25,1
1,1,510.0,23,1,25,1
1,1,515.0,24,1,25,1
1,1,520.0,24,1,25,1
1,1,525.0,24,1,25,1
1,1,530.0,24,1,25,1
1,1,535.0,24,1,25,1
1,1,540.0,24,1,25,1
1,1,545.0,24,1,25,1
1,1,550.0,24,1,25,1
1,1,555.0,24,1,25,1
1,1,560.0,24,1,25,1
1,1,565.0,23,1,25,1
1,1,570.0,23,1,25,1
1,1,575.0,23,1,25,1
1,1,580.0,23,1,25,1
1,1,585.0,23,1,25,1
1,1,590.0,23,1,25,1
1,1,595.0,23,1,25,1
1,1,600.0,23,1,25,1
1,1,605.0,24,1,25,1
1,1,610.0,24,1,25,1
1,1,615.0,24,1,25,1
1,1,620.0,24,1,25,1
1,1,625.0,24,1,25,1
1,1,630.0,24,1,25,1
1,1,635.0,24,1,25,1
1,1,640.0,23,1,25,1
1,1,645.0,23,1,25,1
1,1,650.0,23,1,25,1
1,1,655.0,23,1,25,1
1,1,660.0,23,1,25,1
1,1,665.0,23,1,25,1
1,1,670.0,22,1,25,1
1,1,675.0,22,1,25,1
1,1,680.0,22,1,25,1
1,1,685.0,22,1,25,1
1,1,690.0,22,1,25,1
1,1,695.0,23,1,25,1
1,1,700.0,23,1,25,1
1,1,705.0,23,1,25,1
1,1,710.0,24,1,25,1
1,1,715.0,24,1,25,1
1,1,720.0,24,1,25,1
1,1,725.0,24,1,25,1
1,1,730.0,24,1,25,1
1,1,735.0,24,1,25,1
1,1,740.0,24,1,25,1
1,1,745.0,24,1,25,1
1,1,750.0,24,1,25,1
1,1,755.0,24,1,25,1
1,1,760.0,24,1,25,1
1,1,765.0,24,1,25,1
1,1,770.0,24,1,25,1
1,1,775.0,24,1,25,1
1,1,780.0,24,1,25,1
1,1,785.0,24,1,25,1
1,1,790.0,24,1,25,1
1,1,795.0,24,1,25,1
1,1,800.0,24,1,25,1
1,1,805.0,24,1,25,1
1,1,810.0,24,1,25,1
1,1,815.0,24,1,25,1
1,1,820.0,24,1,25,1
1,1,825.0,24,1,25,1
1,1,830.0,24,1,25,1
1,1,835.0,24,1,25,1
1,1,840.0,24,1,25,1
1,1,845.0,24,1,25,1
1,1,850.0,23,1,25,1
1,1,855.0,23,1,25,1
1,1,860.0,23,1,25,1
1,1,865.0,23,1,25,1
1,1,870.0,23,1,25,1
1,1,875.0,23,1,25,1
1,1,880.0,22,1,25,1
1,1,885.0,22,1,25,1
1,1,890.0,22,1,25,1
1,1,895.0,22,1,25,1
1,1,900.0,22,1,25,1
1,1,905.0,22,1,25,1
1,1,910.0,22,1,25,1
1,1,915.0,22,1,25,1
1,1,920.0,21,1,25,1
1,1,925.0,21,1,25,1
1,1,930.0,21,1,25,1
1,1,935.0,21,1,25,1
1,1,940.0,22,1,25,1
1,1,945.0,21,1,25,1
1,1,950.0,22,1,25,1
1,1,955.0,22,1,25,1
1,1,960.0,22,1,25,1
1,1,965.0,22,1,25,1
1,1,970.0,22,1,25,1
1,1,975.0,22,1,25,1
1,1,980.0,22,1,25,1
1,1,985.0,22,1,25,1
1,1,990.0,22,1,25,1
1,1,995.0,22,1,25,1
1,1,1000.0,22,1,25,1
1,1,1005.0,22,1,25,1
1,1,1010.0,21,1,25,1
1,1,1015.0,20,1,25,1
1,1,1020.0,21,1,25,1
1,1,1025.0,21,1,25,1
1,1,1030.0,21,1,25,1
1,1,1035.0,21,1,25,1
1,1,1040.0,21,1,25,1
1,1,1045.0,21,1,25,1
1,1,1050.0,20,1,25,1
1,1,1055.0,20,1,25,1
1,1,1060.0,20,1,25,1
1,1,1065.0,20,1,25,1
1,1,1070.0,21,1,25,1
1,1,1075.0,20,1,25,1
1,1,1080.0,21,1,25,1
1,1,1085.0,21,1,25,1
1,1,1090.0,22,1,25,1
1,1,1095.0,22,1,25,1
1,1,1100.0,22,1,25,1
1,1,1105.0,22,1,25,1
1,1,1110.0,22,1,25,1
1,1,1115.0,23,1,25,1
1,1,1120.0,22,1,25,1
1,1,1125.0,22,1,25,1
1,1,1130.0,21,1,25,1
1,1,1135.0,22,1,25,1
1,1,1140.0,22,1,25,1
1,1,1145.0,22,1,25,1
1,1,1150.0,21,1,25,1
1,1,1155.0,21,1,25,1
1,1,1160.0,20,1,25,1
1,1,1165.0,20,1,25,1
1,1,1170.0,20,1,25,1
1,1,1175.0,21,1,25,1
1,1,1180.0,21,1,25,1
1,1,1185.0,21,1,25,1
1,1,1190.0,21,1,25,1
1,1,1195.0,21,1,25,1
1,1,1200.0,21,1,25,1
1,1,1205.0,21,1,25,1
1,1,1210.0,21,1,25,1
