escenario,replica,t_segundos,G,N,K,corral
0,0,5.0,100,10,100,2
0,0,10.0,99,10,100,2
0,0,15.0,97,10,100,2
0,0,20.0,97,10,100,2
0,0,25.0,97,10,100,2
0,0,30.0,98,10,100,2
0,0,35.0,98,10,100,2
0,0,40.0,97,10,100,2
0,0,45.0,96,10,100,2
0,0,50.0,96,10,100,2
0,0,55.0,97,10,100,2
0,0,60.0,97,10,100,2
0,0,65.0,96,10,100,2
0,0,70.0,97,10,100,2
0,0,75.0,97,10,100,2
0,0,80.0,96,10,100,2
0,0,85.0,94,10,100,2
0,0,90.0,93,10,100,2
0,0,95.0,92,10,100,2
0,0,100.0,92,10,100,2
0,0,105.0,91,10,100,2
0,0,110.0,89,10,100,2
0,0,115.0,89,10,100,2
0,0,120.0,88,10,100,2
0,0,125.0,87,10,100,2
0,0,130.0,88,10,100,2
0,0,135.0,87,10,100,2
0,0,140.0,86,10,100,2
0,0,145.0,83,10,100,2
0,0,150.0,83,10,100,2
0,0,155.0,83,10,100,2
0,0,160.0,82,10,100,2
0,0,165.0,85,10,100,2
0,0,170.0,85,10,100,2
0,0,175.0,86,10,100,2
0,0,180.0,84,10,100,2
0,0,185.0,86,10,100,2
0,0,190.0,88,10,100,2
0,0,195.0,88,10,100,2
0,0,200.0,88,10,100,2
0,0,205.0,87,10,100,2
0,0,210.0,86,10,100,2
0,0,215.0,85,10,100,2
0,0,220.0,86,10,100,2
0,0,225.0,85,10,100,2
0,0,230.0,85,10,100,2
0,0,235.0,85,10,100,2
0,0,240.0,84,10,100,2
0,0,245.0,84,10,100,2
0,0,250.0,84,10,100,2
0,0,255.0,84,10,100,2
0,0,260.0,85,10,100,2
0,0,265.0,84,10,100,2
0,0,270.0,85,10,100,2
0,0,275.0,86,10,100,2
0,0,280.0,86,10,100,2
0,0,285.0,86,10,100,2
0,0,290.0,85,10,100,2
0,0,295.0,86,10,100,2
0,0,300.0,86,10,100,2
0,0,305.0,87,10,100,2
0,0,310.0,86,10,100,2
0,0,315.0,83,10,100,2
0,0,320.0,84,10,100,2
0,0,325.0,85,10,100,2
0,0,330.0,85,10,100,2
0,0,335.0,85,10,100,2
0,0,340.0,86,10,100,2
0,0,345.0,89,10,100,2
0,0,350.0,89,10,100,2
0,0,355.0,89,10,100,2
0,0,360.0,89,10,100,2
0,0,365.0,89,10,100,2
0,0,370.0,88,10,100,2
0,0,375.0,86,10,100,2
0,0,380.0,85,10,100,2
0,0,385.0,85,10,100,2
0,0,390.0,86,10,100,2
0,0,395.0,85,10,100,2
0,0,400.0,85,10,100,2
0,0,405.0,85,10,100,2
0,0,410.0,86,10,100,2
0,0,415.0,86,10,100,2
0,0,420.0,86,10,100,2
0,0,425.0,87,10,100,2
0,0,430.0,89,10,100,2
0,0,435.0,89,10,100,2
0,0,440.0,88,10,100,2
0,0,445.0,88,10,100,2
0,0,450.0,87,10,100,2
0,0,455.0,88,10,100,2
0,0,460.0,88,10,100,2
0,0,465.0,88,10,100,2
0,0,470.0,86,10,100,2
0,0,475.0,87,10,100,2
0,0,480.0,87,10,100,2
0,0,485.0,87,10,100,2
0,0,490.0,86,10,100,2
0,0,495.0,84,10,100,2
0,0,500.0,85,10,100,2
0,0,505.0,82,10,100,2
0,0,510.0,82,10,100,2
0,0,515.0,82,10,100,2
0,0,520.0,81,10,100,2
0,0,525.0,81,10,100,2
0,0,530.0,81,10,100,2
0,0,535.0,81,10,100,2
0,0,540.0,80,10,100,2
0,0,545.0,82,10,100,2
0,0,550.0,82,10,100,2
0,0,555.0,81,10,100,2
0,0,560.0,80,10,100,2
0,0,565.0,79,10,100,2
0,0,570.0,80,10,100,2
0,0,575.0,81,10,100,2
0,0,580.0,82,10,100,2
0,0,585.0,82,10,100,2
