escenario,corral,label,K,N,N_div_K,N_crit,regimen,h_usado,G_eq_orig,G_eq_holling,RMS_orig,RMS_holling,mejora_pct,discriminante
1,1,C1 5x5,25,1,0.04,3.04,subcritico,12.5,22.74,23.58,1.505,2.055,-36.5,0.6711
2,1,C1 5x5,25,3,0.12,3.04,critico,12.5,13.94,20.3,4.08,3.103,24.0,0.0133
3,1,C1 5x5,25,5,0.2,3.04,supercritico,12.5,,15.98,13.903,2.575,81.5,-0.6446
4,2,C2 10x10,100,5,0.05,12.16,subcritico,50.0,88.37,92.8,2.909,5.857,-101.3,0.5889
5,2,C2 10x10,100,10,0.1,12.16,subcritico,50.0,71.08,84.74,8.618,6.431,25.4,0.1777
6,2,C2 10x10,100,20,0.2,12.16,supercritico,50.0,,63.91,57.807,6.098,89.5,-0.6446
7,3,C3 15x15,225,10,0.044,27.36,subcritico,112.5,202.12,210.69,4.404,9.031,-105.1,0.6345
8,3,C3 15x15,225,25,0.111,27.36,critico,112.5,145.56,186.3,25.856,14.331,44.6,0.0864
9,3,C3 15x15,225,40,0.178,27.36,supercritico,112.5,,156.13,137.943,12.722,90.8,-0.4618
10,4,C4 water,100,10,0.1,12.16,subcritico,50.0,71.08,84.74,8.011,8.136,-1.6,0.1777
11,5,C5 leaves,100,10,0.1,12.16,subcritico,50.0,71.08,84.74,6.414,18.341,-186.0,0.1777
12,6,C6 fences,100,10,0.1,12.16,subcritico,50.0,71.08,84.74,18.78,31.467,-67.6,0.1777
