escenario,replica,t_segundos,G,N,K,corral
10,1,5.0,100,10,100,4
10,1,10.0,100,10,100,4
10,1,15.0,100,10,100,4
10,1,20.0,100,10,100,4
10,1,25.0,100,10,100,4
10,1,30.0,99,10,100,4
10,1,35.0,99,10,100,4
10,1,40.0,99,10,100,4
10,1,45.0,98,10,100,4
10,1,50.0,98,10,100,4
10,1,55.0,98,10,100,4
10,1,60.0,97,10,100,4
10,1,65.0,96,10,100,4
10,1,70.0,97,10,100,4
10,1,75.0,97,10,100,4
10,1,80.0,97,10,100,4
10,1,85.0,95,10,100,4
10,1,90.0,94,10,100,4
10,1,95.0,93,10,100,4
10,1,100.0,93,10,100,4
10,1,105.0,93,10,100,4
10,1,110.0,93,10,100,4
10,1,115.0,93,10,100,4
10,1,120.0,93,10,100,4
10,1,125.0,93,10,100,4
10,1,130.0,92,10,100,4
10,1,135.0,92,10,100,4
10,1,140.0,91,10,100,4
10,1,145.0,91,10,100,4
10,1,150.0,91,10,100,4
10,1,155.0,90,10,100,4
10,1,160.0,89,10,100,4
10,1,165.0,89,10,100,4
10,1,170.0,89,10,100,4
10,1,175.0,87,10,100,4
10,1,180.0,87,10,100,4
10,1,185.0,87,10,100,4
10,1,190.0,87,10,100,4
10,1,195.0,87,10,100,4
10,1,200.0,86,10,100,4
10,1,205.0,87,10,100,4
10,1,210.0,85,10,100,4
10,1,215.0,85,10,100,4
10,1,220.0,85,10,100,4
10,1,225.0,85,10,100,4
10,1,230.0,84,10,100,4
10,1,235.0,83,10,100,4
10,1,240.0,83,10,100,4
10,1,245.0,84,10,100,4
10,1,250.0,84,10,100,4
10,1,255.0,85,10,100,4
10,1,260.0,82,10,100,4
10,1,265.0,82,10,100,4
10,1,270.0,81,10,100,4
10,1,275.0,81,10,100,4
10,1,280.0,82,10,100,4
10,1,285.0,82,10,100,4
10,1,290.0,81,10,100,4
10,1,295.0,81,10,100,4
10,1,300.0,81,10,100,4
10,1,305.0,82,10,100,4
10,1,310.0,82,10,100,4
10,1,315.0,82,10,100,4
10,1,320.0,83,10,100,4
10,1,325.0,85,10,100,4
10,1,330.0,86,10,100,4
10,1,335.0,86,10,100,4
10,1,340.0,86,10,100,4
10,1,345.0,87,10,100,4
10,1,350.0,86,10,100,4
10,1,355.0,86,10,100,4
10,1,360.0,85,10,100,4
10,1,365.0,86,10,100,4
10,1,370.0,85,10,100,4
10,1,375.0,86,10,100,4
10,1,380.0,86,10,100,4
10,1,385.0,86,10,100,4
10,1,390.0,86,10,100,4
10,1,395.0,87,10,100,4
10,1,400.0,87,10,100,4
10,1,405.0,87,10,100,4
10,1,410.0,86,10,100,4
10,1,415.0,85,10,100,4
10,1,420.0,85,10,100,4
10,1,425.0,83,10,100,4
10,1,430.0,82,10,100,4
10,1,435.0,82,10,100,4
10,1,440.0,82,10,100,4
10,1,445.0,84,10,100,4
10,1,450.0,82,10,100,4
10,1,455.0,83,10,100,4
10,1,460.0,81,10,100,4
10,1,465.0,81,10,100,4
10,1,470.0,81,10,100,4
10,1,475.0,81,10,100,4
10,1,480.0,81,10,100,4
10,1,485.0,82,10,100,4
10,1,490.0,82,10,100,4
10,1,495.0,83,10,100,4
10,1,500.0,84,10,100,4
10,1,505.0,82,10,100,4
10,1,510.0,81,10,100,4
10,1,515.0,80,10,100,4
10,1,520.0,80,10,100,4
10,1,525.0,79,10,100,4
10,1,530.0,79,10,100,4
10,1,535.0,79,10,100,4
10,1,540.0,79,10,100,4
10,1,545.0,79,10,100,4
10,1,550.0,79,10,100,4
10,1,555.0,80,10,100,4
10,1,560.0,81,10,100,4
10,1,565.0,80,10,100,4
10,1,570.0,81,10,100,4
10,1,575.0,82,10,100,4
10,1,580.0,82,10,100,4
10,1,585.0,82,10,100,4
10,1,590.0,81,10,100,4
10,1,595.0,80,10,100,4
10,1,600.0,79,10,100,4
10,1,605.0,79,10,100,4
10,1,610.0,78,10,100,4
10,1,615.0,78,10,100,4
10,1,620.0,80,10,100,4
10,1,625.0,81,10,100,4
10,1,630.0,81,10,100,4
10,1,635.0,80,10,100,4
10,1,640.0,79,10,100,4
10,1,645.0,79,10,100,4
10,1,650.0,79,10,100,4
10,1,655.0,79,10,100,4
10,1,660.0,80,10,100,4
10,1,665.0,81,10,100,4
10,1,670.0,78,10,100,4
10,1,675.0,78,10,100,4
10,1,680.0,78,10,100,4
10,1,685.0,78,10,100,4
10,1,690.0,78,10,100,4
10,1,695.0,78,10,100,4
10,1,700.0,78,10,100,4
10,1,705.0,78,10,100,4
10,1,710.0,78,10,100,4
10,1,715.0,78,10,100,4
10,1,720.0,78,10,100,4
10,1,725.0,78,10,100,4
10,1,730.0,78,10,100,4
10,1,735.0,78,10,100,4
10,1,740.0,78,10,100,4
10,1,745.0,77,10,100,4
10,1,750.0,77,10,100,4
10,1,755.0,78,10,100,4
10,1,760.0,78,10,100,4
10,1,765.0,79,10,100,4
10,1,770.0,79,10,100,4
10,1,775.0,79,10,100,4
10,1,780.0,79,10,100,4
10,1,785.0,78,10,100,4
10,1,790.0,80,10,100,4
10,1,795.0,80,10,100,4
10,1,800.0,80,10,100,4
10,1,805.0,80,10,100,4
10,1,810.0,80,10,100,4
10,1,815.0,80,10,100,4
10,1,820.0,80,10,100,4
10,1,825.0,80,10,100,4
10,1,830.0,81,10,100,4
10,1,835.0,82,10,100,4
10,1,840.0,82,10,100,4
10,1,845.0,80,10,100,4
10,1,850.0,78,10,100,4
10,1,855.0,78,10,100,4
10,1,860.0,77,10,100,4
10,1,865.0,78,10,100,4
10,1,870.0,77,10,100,4
10,1,875.0,77,10,100,4
10,1,880.0,77,10,100,4
10,1,885.0,75,10,100,4
10,1,890.0,75,10,100,4
10,1,895.0,74,10,100,4
10,1,900.0,74,10,100,4
10,1,905.0,73,10,100,4
10,1,910.0,72,10,100,4
10,1,915.0,72,10,100,4
10,1,920.0,72,10,100,4
10,1,925.0,73,10,100,4
10,1,930.0,73,10,100,4
10,1,935.0,73,10,100,4
10,1,940.0,76,10,100,4
10,1,945.0,75,10,100,4
10,1,950.0,76,10,100,4
10,1,955.0,76,10,100,4
10,1,960.0,75,10,100,4
10,1,965.0,75,10,100,4
10,1,970.0,75,10,100,4
10,1,975.0,75,10,100,4
10,1,980.0,77,10,100,4
10,1,985.0,77,10,100,4
10,1,990.0,79,10,100,4
10,1,995.0,80,10,100,4
10,1,1000.0,80,10,100,4
10,1,1005.0,80,10,100,4
10,1,1010.0,80,10,100,4
10,1,1015.0,79,10,100,4
10,1,1020.0,79,10,100,4
10,1,1025.0,78,10,100,4
10,1,1030.0,79,10,100,4
10,1,1035.0,79,10,100,4
10,1,1040.0,79,10,100,4
10,1,1045.0,79,10,100,4
10,1,1050.0,79,10,100,4
10,1,1055.0,80,10,100,4
10,1,1060.0,80,10,100,4
10,1,1065.0,80,10,100,4
10,1,1070.0,80,10,100,4
10,1,1075.0,78,10,100,4
10,1,1080.0,80,10,100,4
10,1,1085.0,80,10,100,4
10,1,1090.0,81,10,100,4
10,1,1095.0,80,10,100,4
10,1,1100.0,80,10,100,4
10,1,1105.0,78,10,100,4
10,1,1110.0,78,10,100,4
10,1,1115.0,77,10,100,4
10,1,1120.0,77,10,100,4
10,1,1125.0,77,10,100,4
10,1,1130.0,76,10,100,4
10,1,1135.0,77,10,100,4
10,1,1140.0,78,10,100,4
10,1,1145.0,78,10,100,4
10,1,1150.0,78,10,100,4
10,1,1155.0,77,10,100,4
10,1,1160.0,78,10,100,4
10,1,1165.0,78,10,100,4
10,1,1170.0,77,10,100,4
10,1,1175.0,77,10,100,4
10,1,1180.0,77,10,100,4
10,1,1185.0,76,10,100,4
10,1,1190.0,76,10,100,4
10,1,1195.0,77,10,100,4
10,1,1200.0,79,10,100,4
10,1,1205.0,79,10,100,4
10,1,1210.0,80,10,100,4
10,1,1215.0,79,10,100,4
10,1,1220.0,79,10,100,4
10,1,1225.0,79,10,100,4
10,1,1230.0,78,10,100,4
10,1,1235.0,78,10,100,4
10,1,1240.0,77,10,100,4
10,1,1245.0,76,10,100,4
10,1,1250.0,76,10,100,4
10,1,1255.0,76,10,100,4
10,1,1260.0,77,10,100,4
10,1,1265.0,76,10,100,4
10,1,1270.0,76,10,100,4
10,1,1275.0,77,10,100,4
10,1,1280.0,77,10,100,4
10,1,1285.0,76,10,100,4
10,1,1290.0,76,10,100,4
10,1,1295.0,77,10,100,4
10,1,1300.0,76,10,100,4
10,1,1305.0,76,10,100,4
10,1,1310.0,78,10,100,4
10,1,1315.0,77,10,100,4
10,1,1320.0,76,10,100,4
10,1,1325.0,77,10,100,4
10,1,1330.0,77,10,100,4
10,1,1335.0,77,10,100,4
10,1,1340.0,77,10,100,4
10,1,1345.0,76,10,100,4
10,1,1350.0,76,10,100,4
10,1,1355.0,77,10,100,4
10,1,1360.0,77,10,100,4
10,1,1365.0,77,10,100,4
10,1,1370.0,77,10,100,4
10,1,1375.0,76,10,100,4
10,1,1380.0,76,10,100,4
10,1,1385.0,76,10,100,4
10,1,1390.0,76,10,100,4
10,1,1395.0,76,10,100,4
10,1,1400.0,75,10,100,4
10,1,1405.0,75,10,100,4
10,1,1410.0,75,10,100,4
10,1,1415.0,76,10,100,4
10,1,1420.0,77,10,100,4
10,1,1425.0,77,10,100,4
10,1,1430.0,77,10,100,4
10,1,1435.0,76,10,100,4
10,1,1440.0,76,10,100,4
10,1,1445.0,76,10,100,4
10,1,1450.0,76,10,100,4
10,1,1455.0,75,10,100,4
10,1,1460.0,75,10,100,4
10,1,1465.0,76,10,100,4
10,1,1470.0,76,10,100,4
10,1,1475.0,75,10,100,4
10,1,1480.0,76,10,100,4
10,1,1485.0,76,10,100,4
10,1,1490.0,76,10,100,4
10,1,1495.0,76,10,100,4
10,1,1500.0,76,10,100,4
10,1,1505.0,76,10,100,4
10,1,1510.0,77,10,100,4
10,1,1515.0,77,10,100,4
10,1,1520.0,77,10,100,4
10,1,1525.0,76,10,100,4
10,1,1530.0,76,10,100,4
10,1,1535.0,76,10,100,4
10,1,1540.0,77,10,100,4
10,1,1545.0,76,10,100,4
10,1,1550.0,75,10,100,4
10,1,1555.0,75,10,100,4
10,1,1560.0,75,10,100,4
10,1,1565.0,76,10,100,4
10,1,1570.0,76,10,100,4
10,1,1575.0,76,10,100,4
10,1,1580.0,76,10,100,4
10,1,1585.0,76,10,100,4
10,1,1590.0,77,10,100,4
10,1,1595.0,77,10,100,4
10,1,1600.0,78,10,100,4
10,1,1605.0,80,10,100,4
10,1,1610.0,79,10,100,4
10,1,1615.0,79,10,100,4
10,1,1620.0,80,10,100,4
10,1,1625.0,82,10,100,4
10,1,1630.0,83,10,100,4
10,1,1635.0,82,10,100,4
10,1,1640.0,82,10,100,4
10,1,1645.0,81,10,100,4
10,1,1650.0,81,10,100,4
10,1,1655.0,81,10,100,4
10,1,1660.0,80,10,100,4
10,1,1665.0,81,10,100,4
10,1,1670.0,80,10,100,4
10,1,1675.0,81,10,100,4
10,1,1680.0,81,10,100,4
10,1,1685.0,80,10,100,4
10,1,1690.0,78,10,100,4
10,1,1695.0,78,10,100,4
10,1,1700.0,78,10,100,4
10,1,1705.0,78,10,100,4
10,1,1710.0,78,10,100,4
10,1,1715.0,78,10,100,4
10,1,1720.0,77,10,100,4
10,1,1725.0,77,10,100,4
10,1,1730.0,77,10,100,4
10,1,1735.0,76,10,100,4
10,1,1740.0,76,10,100,4
10,1,1745.0,76,10,100,4
10,1,1750.0,76,10,100,4
10,1,1755.0,77,10,100,4
10,1,1760.0,77,10,100,4
10,1,1765.0,77,10,100,4
10,1,1770.0,78,10,100,4
10,1,1775.0,78,10,100,4
10,1,1780.0,78,10,100,4
10,1,1785.0,79,10,100,4
10,1,1790.0,78,10,100,4
10,1,1795.0,78,10,100,4
10,1,1800.0,78,10,100,4
10,1,1805.0,78,10,100,4
10,1,1810.0,77,10,100,4
10,1,1815.0,77,10,100,4
10,1,1820.0,79,10,100,4
10,1,1825.0,79,10,100,4
10,1,1830.0,79,10,100,4
10,1,1835.0,79,10,100,4
10,1,1840.0,77,10,100,4
10,1,1845.0,76,10,100,4
10,1,1850.0,76,10,100,4
10,1,1855.0,76,10,100,4
10,1,1860.0,76,10,100,4
10,1,1865.0,76,10,100,4
10,1,1870.0,77,10,100,4
10,1,1875.0,77,10,100,4
10,1,1880.0,76,10,100,4
10,1,1885.0,76,10,100,4
10,1,1890.0,76,10,100,4
10,1,1895.0,75,10,100,4
10,1,1900.0,76,10,100,4
10,1,1905.0,77,10,100,4
10,1,1910.0,77,10,100,4
10,1,1915.0,76,10,100,4
10,1,1920.0,75,10,100,4
10,1,1925.0,76,10,100,4
10,1,1930.0,78,10,100,4
10,1,1935.0,78,10,100,4
10,1,1940.0,78,10,100,4
10,1,1945.0,79,10,100,4
10,1,1950.0,79,10,100,4
10,1,1955.0,79,10,100,4
10,1,1960.0,78,10,100,4
10,1,1965.0,76,10,100,4
10,1,1970.0,76,10,100,4
10,1,1975.0,76,10,100,4
10,1,1980.0,76,10,100,4
10,1,1985.0,75,10,100,4
10,1,1990.0,78,10,100,4
10,1,1995.0,75,10,100,4
10,1,2000.0,75,10,100,4
10,1,2005.0,74,10,100,4
10,1,2010.0,75,10,100,4
10,1,2015.0,75,10,100,4
10,1,2020.0,75,10,100,4
10,1,2025.0,74,10,100,4
10,1,2030.0,74,10,100,4
10,1,2035.0,76,10,100,4
10,1,2040.0,75,10,100,4
10,1,2045.0,75,10,100,4
10,1,2050.0,75,10,100,4
10,1,2055.0,76,10,100,4
10,1,2060.0,75,10,100,4
10,1,2065.0,76,10,100,4
10,1,2070.0,76,10,100,4
10,1,2075.0,75,10,100,4
10,1,2080.0,74,10,100,4
10,1,2085.0,74,10,100,4
10,1,2090.0,73,10,100,4
10,1,2095.0,73,10,100,4
10,1,2100.0,73,10,100,4
10,1,2105.0,73,10,100,4
10,1,2110.0,73,10,100,4
10,1,2115.0,73,10,100,4
10,1,2120.0,73,10,100,4
10,1,2125.0,71,10,100,4
10,1,2130.0,72,10,100,4
10,1,2135.0,72,10,100,4
10,1,2140.0,73,10,100,4
10,1,2145.0,73,10,100,4
10,1,2150.0,73,10,100,4
10,1,2155.0,75,10,100,4
10,1,2160.0,76,10,100,4
10,1,2165.0,76,10,100,4
10,1,2170.0,75,10,100,4
10,1,2175.0,74,10,100,4
10,1,2180.0,74,10,100,4
10,1,2185.0,72,10,100,4
10,1,2190.0,71,10,100,4
10,1,2195.0,73,10,100,4
10,1,2200.0,74,10,100,4
10,1,2205.0,74,10,100,4
10,1,2210.0,74,10,100,4
10,1,2215.0,74,10,100,4
10,1,2220.0,76,10,100,4
10,1,2225.0,76,10,100,4
10,1,2230.0,75,10,100,4
10,1,2235.0,75,10,100,4
10,1,2240.0,75,10,100,4
10,1,2245.0,77,10,100,4
10,1,2250.0,77,10,100,4
10,1,2255.0,78,10,100,4
10,1,2260.0,78,10,100,4
10,1,2265.0,78,10,100,4
10,1,2270.0,79,10,100,4
10,1,2275.0,79,10,100,4
10,1,2280.0,79,10,100,4
10,1,2285.0,81,10,100,4
10,1,2290.0,81,10,100,4
10,1,2295.0,80,10,100,4
10,1,2300.0,80,10,100,4
10,1,2305.0,81,10,100,4
10,1,2310.0,80,10,100,4
10,1,2315.0,80,10,100,4
10,1,2320.0,79,10,100,4
10,1,2325.0,80,10,100,4
10,1,2330.0,78,10,100,4
10,1,2335.0,78,10,100,4
10,1,2340.0,78,10,100,4
10,1,2345.0,78,10,100,4
10,1,2350.0,78,10,100,4
10,1,2355.0,79,10,100,4
10,1,2360.0,78,10,100,4
10,1,2365.0,78,10,100,4
10,1,2370.0,79,10,100,4
10,1,2375.0,81,10,100,4
10,1,2380.0,81,10,100,4
10,1,2385.0,81,10,100,4
10,1,2390.0,80,10,100,4
10,1,2395.0,81,10,100,4
10,1,2400.0,83,10,100,4
10,1,2405.0,82,10,100,4
10,1,2410.0,83,10,100,4
10,1,2415.0,83,10,100,4
10,1,2420.0,83,10,100,4
10,1,2425.0,84,10,100,4
10,1,2430.0,84,10,100,4
10,1,2435.0,84,10,100,4
10,1,2440.0,84,10,100,4
10,1,2445.0,83,10,100,4
10,1,2450.0,82,10,100,4
10,1,2455.0,82,10,100,4
10,1,2460.0,84,10,100,4
10,1,2465.0,84,10,100,4
10,1,2470.0,85,10,100,4
10,1,2475.0,86,10,100,4
10,1,2480.0,84,10,100,4
10,1,2485.0,84,10,100,4
10,1,2490.0,84,10,100,4
10,1,2495.0,85,10,100,4
10,1,2500.0,85,10,100,4
10,1,2505.0,85,10,100,4
10,1,2510.0,84,10,100,4
10,1,2515.0,84,10,100,4
10,1,2520.0,84,10,100,4
10,1,2525.0,84,10,100,4
10,1,2530.0,84,10,100,4
10,1,2535.0,85,10,100,4
10,1,2540.0,84,10,100,4
10,1,2545.0,85,10,100,4
10,1,2550.0,86,10,100,4
10,1,2555.0,86,10,100,4
