escenario,corral,label,K,N,N_div_K,N_crit,regimen,G_eq_plus,RMS,discriminante
1,1,C1 5x5,25,1,0.04,3.04,subcritico,22.74,1.505,0.6711
2,1,C1 5x5,25,3,0.12,3.04,critico,13.94,4.08,0.0133
3,1,C1 5x5,25,5,0.2,3.04,supercritico,,13.903,-0.6446
4,2,C2 10x10,100,5,0.05,12.16,subcritico,88.37,2.909,0.5889
5,2,C2 10x10,100,10,0.1,12.16,subcritico,71.08,8.618,0.1777
6,2,C2 10x10,100,20,0.2,12.16,supercritico,,57.807,-0.6446
7,3,C3 15x15,225,10,0.044,27.36,subcritico,202.12,4.404,0.6345
8,3,C3 15x15,225,25,0.111,27.36,critico,145.56,25.856,0.0864
9,3,C3 15x15,225,40,0.178,27.36,supercritico,,137.943,-0.4618
10,4,C4 agua,100,10,0.1,12.16,subcritico,71.08,8.011,0.1777
11,5,C5 hojas,100,10,0.1,12.16,subcritico,71.08,6.414,0.1777
12,6,C6 vallas,100,10,0.1,12.16,subcritico,71.08,18.78,0.1777
